developer-agreement-contribution,developer-agreement,contribution-purpose,amount,units,entry-date,start-date,end-date
2/2009/0781/s106/1,2/2009/0781/s106,other,12500,,2021-01-20,2009-01-29,
2/2014/0381/s106/1,2/2014/0381/s106,community-facilities,25000,,2021-01-20,2015-05-11,
2/2014/0381/s106/2,2/2014/0381/s106,affordable-housing,,28,2021-01-20,2015-05-11,
2/2014/0786/s106/1,2/2014/0786/s106,open-space-and-leisure,100000,,2021-01-20,2015-11-10,
2/2015/0514/s106/1,2/2015/0514/s106,affordable-housing,,15,2021-01-20,2016-03-23,
2/2016/0070/s106/1,2/2016/0070/s106,community-facilities,13427,,2021-01-20,2016-09-12,
2/2016/0070/s106/2,2/2016/0070/s106,education,71250,,2021-01-20,2016-09-12,
2/2017/0148/s106/1,2/2017/0148/s106,affordable-housing,,15,2021-01-20,2017-06-30,
2/2017/0039/s106/1,2/2017/0039/s106,education,77657,,2021-01-20,2017-08-01,
2/2016/0657/s106/1,2/2016/0657/s106,affordable-housing,,13,2021-01-20,2017-09-07,
2/2016/0294/s106/1,2/2016/0294/s106,affordable-housing,,8,2021-01-20,2018-03-13,
2/2018/0188/s106/1,2/2018/0188/s106,affordable-housing,93085,,2021-01-20,2019-04-01,
2/2018/0188/s106/2,2/2018/0188/s106,affordable-housing,,1,2021-01-20,2019-04-01,
2/2017/0246/s106/1,2/2017/0246/s106,affordable-housing,,23,2021-01-20,2019-07-17,
