reference,name,conservation-area,documentation-url,document-url,document-type,notes,start-date,end-date,entry-date
CA5,Mackeye End,CA5,https://valid_url.com,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/MackeryeEnd%20CACS.pdf,area-appraisal,,27/07/1977,,01/06/2004
CA18,Napsbury,CA18,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Napsbury%20Conservation%20Area%20Character%20Statement.pdf,area-appraisal,,01/04/1996,,01/06/2004
CA17,Park Street and Frogmore,CA17,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/ParkStreetFrogmore%20CACS.pdf,area-appraisal,,30/03/1994,,01/06/2004
CA10,Shafford Mill,CA10,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Shafford%20Mill%20Conservation%20Area%20Character%20Statement.pdf,area-appraisal,,31/07/1980,,01/06/2004
CA12,Potters Crouch,CA12,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Potters%20Crouch%20Character%20Statement.pdf,area-appraisal,,27/07/1977,,01/06/2004
CA13,Old Bricket Wood,CA13,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/OldBricketWood%20CACS.pdf,area-appraisal,,20/07/1983,,01/06/2004
CA6,Water End,CA6,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Waterend%20CACS.pdf,area-appraisal,,,,01/06/2004
CA9,Sandridge,CA9,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Sandridge%20CACS%202023.pdf,area-appraisal,,24/03/1969,,01/06/2004
CA4,Gustard Wood,CA4,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Gustard%20Wood%20CACS%202020.pdf,area-appraisal,,22/01/1973,,01/06/2004
CA19,Cunningham Avenue,CA19,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/conservation/Cunningham%20Avenue%20Conservation%20Area%20Character%20Statement.pdf,area-appraisal,,28/01/2014,,28/01/2014
